HUC8,Year,Month,PPT,TMAX,USDM
7080106,2013,8,-1.051724361,1.240163824,1.382496983
7080106,2013,9,-0.550310399,1.046322464,2
7080106,2013,10,-0.125033224,0.179171809,1.997395526
7080106,2013,11,-0.417670416,-0.731655789,1.972011731
7080106,2013,12,-1.020550693,-1.521013548,1.967023098
7080106,2014,1,-1.183081972,-1.618805412,1.967023098
7080106,2014,2,-0.365997651,-1.787733257,1.67173248
7080106,2014,3,-1.022551265,-0.911961112,1.4723415
7080106,2014,4,1.533698517,0.071015555,0.906523346
7080106,2014,5,-0.091801456,0.605854088,0.706161705
7080106,2014,6,2.650735782,1.046856553,0.46587916
7080106,2014,7,1.900003387,0.989115103,0
7080106,2014,8,0.59303853,1.043848896,0
7080106,2014,9,1.088778073,0.704793416,0
7080106,2014,10,0.418320183,0.172065371,0
7080106,2014,11,-0.787140937,-0.947922957,0
7080106,2014,12,-0.917663816,-1.147238079,0
7080106,2015,1,-0.991905795,-1.356950841,0
7080106,2015,2,-0.713156151,-1.697943705,0
7080106,2015,3,-1.185527462,-0.468470729,0
7080106,2015,4,0.121037449,0.249765432,0
7080106,2015,5,0.557051905,0.568679366,0
7080106,2015,6,2.000553877,0.969571796,0
7080106,2015,7,1.420363213,1.123076067,0
7080106,2015,8,1.061522422,0.986920202,0
7080106,2015,9,0.536399724,1.058109278,0
7080106,2015,10,-0.347809712,0.26657949,0
7080106,2015,11,0.512037566,-0.315183128,0
7080106,2015,12,1.03403636,-0.829767122,0
7080106,2016,1,-1.104949192,-1.537546751,0
7080106,2016,2,-1.023587817,-1.089824708,0
7080106,2016,3,-0.465781272,-0.303856085,0
7080106,2016,4,-0.399205581,0.122367629,0
7080106,2016,5,0.213319926,0.552369667,0
7080106,2016,6,-0.049467771,1.2891866,0.56927956
7080106,2016,7,1.370094637,1.16655659,0.290933457
7080106,2016,8,1.653349845,1.162989587,0
7080106,2016,9,0.32086631,1.008545661,0
7080106,2016,10,-0.490266624,0.416988433,0
7080106,2016,11,-0.712182947,-0.07033996,0
7080106,2016,12,-0.64944702,-1.348243176,0
7080106,2017,1,-0.586144278,-1.319461775,0
7080106,2017,2,-1.073803296,-0.579666759,0
7080106,2017,3,-0.256081287,-0.537656625,0
7080106,2017,4,0.257016832,0.170324005,0
